Open-time,Open,High,Low,Close,Volume,Close-time,Quote-asset-volume,Number-of-trades,Taker-buy-base-asset-volume,Taker-buy-quote-asset-volume,Ignore
1770642600000000,69027.91,69248.46,69001.52,69185.72,0.26462,1770642899999999,18308.5592838,42,0.14839,10267.2991462,0
1770642900000000,69195.35,69195.35,68949.54,69116.88,0.05235,1770643199999999,3616.8099326,33,0.04467,3086.3514742,0
1770643200000000,69099.44,69222.81,69099.44,69182.82,0.0473,1770643499999999,3270.696049,33,0.0473,3270.696049,0
1770643500000000,69196.85,69204.51,69143.28,69148.31,0.02659,1770643799999999,1838.7996939,17,0.01261,872.1675525,0
1770643800000000,69189.04,69189.04,69033.83,69033.83,0.01455,1770644099999999,1005.4472743,23,0.00697,481.7920325,0
1770644100000000,69063.81,69140.99,69001.02,69140.99,0.0496,1770644399999999,3424.8005781,33,0.04191,2893.9104132,0
1770644400000000,69140.98,69140.98,69000.38,69000.38,0.2036,1770644699999999,14061.5456946,34,0.12421,8579.9305995,0
1770644700000000,69043.23,69087.89,68914.68,68914.68,0.01916,1770644999999999,1321.951434,28,0.00748,515.7889752,0
1770645000000000,68914.67,68973.23,68744.17,68764.89,0.06005,1770645299999999,4133.4481506,77,0.05,3441.6289355,0
1770645300000000,68764.88,68764.88,68539.88,68539.88,0.41248,1770645599999999,28311.9231541,180,0.16916,11616.162008,0
1770645600000000,68539.88,68780.17,68528.87,68668.15,0.58715,1770645899999999,40321.2341862,141,0.25946,17821.7865046,0
1770645900000000,68668.16,68705.98,68334.6,68475.37,0.17345,1770646199999999,11876.5419429,60,0.10834,7418.6953425,0
1770646200000000,68475.39,68550.52,68273.32,68546.63,0.05667,1770646499999999,3879.2282049,35,0.04115,2816.0001528,0
1770646500000000,68596.56,68641.8,68343.67,68490.38,0.08531,1770646799999999,5840.9308193,84,0.03152,2158.7365432,0
1770646800000000,68524.97,68762.59,68442.47,68684.4,0.14053,1770647099999999,9640.7648051,105,0.06589,4521.4651888,0
1770647100000000,68709.25,69008.84,68709.25,68936.51,0.23436,1770647399999999,16146.4587628,94,0.11921,8212.399396,0
1770647400000000,68936.49,68999.46,68618.75,68666.76,0.23735,1770647699999999,16326.9539953,144,0.11859,8158.4455169,0
1770647700000000,68606.39,69315.41,68440.79,69310.13,0.40226,1770647999999999,27764.1465039,132,0.2785,19219.2601324,0
1770648000000000,69308.16,69686.16,69179.15,69179.15,0.6555,1770648299999999,45482.99761,188,0.27511,19097.7729529,0
1770648300000000,69196.13,69322.38,68974.45,69280.43,0.14541,1770648599999999,10060.4100017,67,0.04899,3389.9517841,0
1770648600000000,69285.95,69402.84,69155.68,69311.62,0.75768,1770648899999999,52493.0498935,221,0.26789,18564.6839023,0
